Design ; Gen Effort ; Map Effort ; Opt Effort ;Slack ; Data Path ; Cell Count ; Cell Area ; Total Area ; Power Unit ; Power Mult ; Total Power
ripple_carry_adder_32bits ; low ; medium ; medium ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; low ; medium ; low ;187030 ; 12970 ; 93 ; 853.318 ; 1498.130 ; W ; 0 ; 2.16155e-04
ripple_carry_adder_32bits ; low ; medium ; none ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; low ; low ; high ;186924 ; 13076 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97046e-04
ripple_carry_adder_32bits ; low ; low ; medium ;186924 ; 13076 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97046e-04
ripple_carry_adder_32bits ; low ; low ; low ;187060 ; 12940 ; 155 ; 1086.042 ; 1941.265 ; W ; 0 ; 2.22844e-04
ripple_carry_adder_32bits ; low ; low ; none ;186924 ; 13076 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97046e-04
ripple_carry_adder_32bits ; low ; none ; high ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; low ; none ; medium ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; low ; none ; low ;187030 ; 12970 ; 93 ; 853.318 ; 1498.130 ; W ; 0 ; 2.16155e-04
ripple_carry_adder_32bits ; low ; none ; none ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; none ; high ; high ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; none ; high ; medium ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
