Design ; Gen Effort ; Map Effort ; Opt Effort ;Slack ; Data Path ; Cell Count ; Cell Area ; Total Area ; Power Unit ; Power Mult ; Total Power
cla_16bits ; low ; low ; medium ;196642 ; 3358 ; 124 ; 939.651 ; 1758.587 ; W ; 0 ; 1.47660e-04
cla_16bits ; low ; low ; low ;196719 ; 3281 ; 205 ; 1243.693 ; 2337.522 ; W ; 0 ; 1.63931e-04
cla_16bits ; low ; low ; none ;196642 ; 3358 ; 124 ; 939.651 ; 1758.587 ; W ; 0 ; 1.47660e-04
cla_16bits ; low ; none ; high ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
cla_16bits ; low ; none ; medium ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
cla_16bits ; low ; none ; low ;197112 ; 2888 ; 134 ; 878.342 ; 1645.241 ; W ; 0 ; 1.51514e-04
cla_16bits ; low ; none ; none ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
cla_16bits ; none ; high ; high ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
cla_16bits ; none ; high ; medium ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
cla_16bits ; none ; high ; low ;197112 ; 2888 ; 132 ; 870.835 ; 1630.947 ; W ; 0 ; 1.51071e-04
cla_16bits ; none ; high ; none ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
cla_16bits ; none ; medium ; high ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
cla_16bits ; none ; medium ; medium ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
cla_16bits ; none ; medium ; low ;197112 ; 2888 ; 134 ; 878.342 ; 1645.241 ; W ; 0 ; 1.51514e-04
cla_16bits ; none ; medium ; none ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
cla_16bits ; none ; low ; high ;196982 ; 3018 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40741e-04
cla_16bits ; none ; low ; medium ;196982 ; 3018 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40741e-04
cla_16bits ; none ; low ; low ;197035 ; 2965 ; 166 ; 998.458 ; 1873.956 ; W ; 0 ; 1.54912e-04
cla_16bits ; none ; low ; none ;196982 ; 3018 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40741e-04
cla_16bits ; none ; none ; high ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
cla_16bits ; none ; none ; medium ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
cla_16bits ; none ; none ; low ;197112 ; 2888 ; 134 ; 878.342 ; 1645.241 ; W ; 0 ; 1.51514e-04
cla_16bits ; none ; none ; none ;197119 ; 2881 ; 97 ; 739.459 ; 1380.790 ; W ; 0 ; 1.40744e-04
